Questions,num_words,num_characters,num_misspelled,bin_start_interrogative,bin_end_qmark,num_interrogative,bin_start_small,avg_word_sentence,num_sentences,bin_url,readability_score,num_punctuations,bin_taboo,grammar_check,Average IDF,Entropy,Polarity,Subjectivity
savanna makes 18 gift baskets to sell in her store she puts 4 peaches in 10 of the baskets and 2 peaches in the remaining 8 baskets how many peaches does savannah place in the gift baskets,37,152,1,0,0,1,1,37,1,0,16.41918919,0,0,0,-4.121671075,0.114111534,0.5,0.5
Which one of the following acts is an example of body language? <br /> A. Rolling of the eyes<br /> B. Employing the peripheral route of persuasion<br /> C. Showing prejudice<br /> D. Acting on an attitude,36,169,4,0,0,0,0,6,6,0,1.456666667,13,0,0,-3.765040815,0.113340004,0,0.05
Which of the following was formed due to customs and traditions?<br /> a. equality for all<br /> b. political parties<br /> c. the Bill of Rights<br /> d. the executive branch,31,145,4,0,0,0,0,5.166666667,6,0,0.601075269,13,0,0,-3.630610546,0.098554113,-0.041666667,0.191666667
Help please.From the passage and the question 1 to 3 thanks.:-) ,12,53,0,0,0,0,0,4,3,0,-0.59,4,0,0,-2.575707014,0.181861654,0.35,0.6
"38 When a sample of a gas is heated in a sealed, rigid container from 200. K to 400. K, the pressure exerted by the gas is<br /> (1) decreased by a factor of 2.(2) increased by a factor of 2.<br /> (3) decreased by a factor of 200.(4) increased by a factor of 200.",57,210,2,0,0,1,0,9.5,6,0,-1.145263158,20,0,0,-2.34615208,0.792587047,-0.4,0.7
Write the multiple of 5 starting from 100,8,34,0,0,0,0,0,8,1,0,2.5875,0,0,1,-4.17338777,0.026073548,0,0.05
35 Given the word equation:<br /> sodium chlorate ==&gt; sodium chloride + oxygen<br /> Which type of chemical reaction is represented by this equation?<br /> (1) double replacement (3) decomposition<br /> (2) single replacement (4) synthesis,35,207,4,0,0,0,0,17.5,2,0,11.54285714,18,0,0,-2.365300715,0.780374155,-0.035714286,0.107142857
Given the equation representing a reaction at equilibrium:<br /> H2(g) + I2(g) + heat--&gt; 2HI(g)<br /> Which change favors the reverse reaction?<br /> (1) decreasing the concentration of HI(g)<br /> (2) decreasing the temperature<br /> (3) increasing the concentration of I2(g)<br /> (4) increasing the pressure,50,268,10,0,0,0,0,25,2,0,12.1708,34,0,0,-2.071473372,1.50797735,0,0
34 Which electron configuration represents the electrons of a sulfur atom in an excited state?<br /> (1) 2-6-6 (3) 2-8-4<br /> (2) 2-7-7 (4) 2-8-6,33,122,2,0,0,0,0,16.5,2,0,0.95,21,0,0,-2.03408584,0.683486191,0.375,0.75
"53 Explain, in terms of electrons, why the radius of a potassium atom is larger than the radius of a potassium ion in the ground state.",26,110,0,0,0,1,0,26,1,0,10.95346154,3,0,1,-5.378360074,0.024291055,0,0.5
Which of the following nations currently possess nuclear weapons? <br /> France<br /> United States<br /> South Africa<br /> Iraq<br /> Japan<br /> North Korea,24,135,6,0,0,0,0,12,2,0,7.335,13,0,0,-5.072510698,0.033532389,0,0.25
how do u work out scale factor,7,24,0,1,0,1,1,7,1,0,-1.781428571,0,0,0,-4.402229342,0.017468782,0,0
a giraffe runs 27 miles in one hour at this rate how far does a giraffe go on 3 hours ,20,66,0,0,0,1,1,20,1,0,4.113,0,0,0,-4.050327677,0.065911814,0.1,1
A youth chorus has 30 members.There are 14 boys in the chorus.What is the ratio of boys to girls in simplest form?<br /><br /> A.7/15<br /> B.8/15<br /> C.7/8<br /> D.8/7,41,140,5,0,0,1,0,5.125,8,0,-5.771402439,17,0,0,-5.273624754,0.03135932,0,0
What is a pilgrim?.........,4,24,0,1,0,1,0,4,1,0,-2.945,10,0,1,-6.907755279,0.000490502,0,0
"What is the relationship between the 4s in 8,444?",10,41,1,1,1,1,0,10,1,0,1.939,2,0,1,-6.396929655,0.002289448,0,0
the answer of 8x + 2x ,5,16,2,0,0,0,1,5,1,0,-4.8,0,0,0,-4.150914914,0.020710021,0,0
whats a function of the cell membrane<br /><br />,9,41,2,0,0,0,1,9,1,0,1.386666667,4,0,0,-4.166915255,0.02160777,0,0
what is the earliest skill that people developed,8,41,0,1,0,1,1,8,1,0,6.70875,0,0,0,-5.349610661,0.007328516,0.1,0.3
Which development is most closely associated with early inca achievements?<br />,11,70,2,0,0,0,0,5.5,2,0,9.58,3,0,0,-6.214608098,0.005448613,0.3,0.4
"Which of the following are not affected by an authorí¢ä‰åä‹¢s choice of genre?<br /> purpose, organization, choice of details",20,107,1,0,0,0,0,10,2,0,5.4715,5,0,0,-4.870873352,0.02327049,0,0.1
Theo's mom bought an eight pack of juice at the store for $4. Find the unit price for the juice boxes.,21,82,0,0,0,0,0,10.5,2,0,1.538571429,2,0,0,-3.300022082,0.171369517,0,0
What is the holy trinity?,5,21,0,1,1,1,0,5,1,0,-0.09,1,0,1,-6.907755279,0.000981005,0,0
"In a given linear equation, the value of the independent variable<br /> decreases at a constant rate while the value of the dependent<br /> variable increases at a constant rate. The slope of this line is<br /> (1) positive (3) zero<br /> (2) negative (4) undefined",46,220,4,0,0,0,0,23,2,0,10.34347826,18,0,0,-2.269208932,0.733704408,-0.014545455,0.347424242
"Who was known for his large empire, rebuilt capital, and the engineering wonder known as the Hanging Gardens?",18,92,0,1,1,1,0,18,1,0,10.85833333,3,0,1,-5.744604469,0.013342514,0.214285714,0.428571429
"Biologist Lynn Margulis proposed the endosymbiotic theory, which states that different prokaryotic organisms joined in symbiosis eventually become eukaryotic cells. Which two plant cell organelles can be viewed as evidence to support her theory?<br /> A cell wall and vesicle<br /> B chloroplasts and vacuole<br /> C mitochondria and chloroplasts<br /> D mitochondria and Golgi apparatus",56,332,11,0,0,0,0,18.66666667,3,0,14.56529762,11,0,0,-4.290765043,0.145863267,0,0.6
What country did Japan defeat in its FIRST foreign war during the Meiji period?,14,66,0,1,1,1,0,14,1,0,7.437857143,1,0,1,-5.203007187,0.016530609,0.0625,0.229166667
What is 9 times 1/3 to the 2 power,10,26,0,1,0,1,0,10,1,0,-4.655,0,0,1,-3.429596856,0.046504654,0,0
What sporting event was the first ever to be broadcast on American commercial radio?,14,71,0,1,1,1,0,14,1,0,9.12,1,0,1,-5.298317367,0.015066074,0.083333333,0.111111111
"What was the Sugar Act? Also, what were the Townshend Acts? What were the Writs of Assistance? What were the Quartering Acts? <br /> Define each act please",27,128,2,1,0,4,0,5.4,5,0,2.203333333,7,0,0,-5.187969309,0.024396888,0,0
What is the sum of 6 feet 10 inches and 8 feet 9 inches?,14,43,0,1,1,1,0,14,1,0,-0.3,1,0,1,-4.284698291,0.043270958,0,0
Which of the following is characteristic of an epic hero?<br /> A. An epic hero must have at least one parent that is a god.<br /> B. An epic hero must have no human frailties and flaws.<br /> C. An epic hero must be more courageous than the typical man.<br /> D. An epic hero must be able to vanquish all of his enemies.,64,258,4,0,0,0,0,7.111111111,9,0,-0.432725694,17,0,0,-3.992603492,0.169798592,0.080555556,0.390972222
what are two intergers that are also whole numbers,9,42,1,1,0,1,1,9,1,0,5.05,0,0,0,-4.66704559,0.016582375,0.2,0.4
What is the discount rate for $50 headphones that are on sale for $42,14,56,0,1,0,1,0,14,1,0,3.737142857,0,0,1,-4.089357021,0.043082468,0,0
_______ are on chromosomes in the nucleus of a cell. <br /> A. Genes<br /> B. Mutations<br /> C. Traits<br /> D. Alleles,21,98,4,0,0,0,0,3.5,6,0,-3.082857143,13,0,0,-3.358137892,0.09146095,0,0
Which organelle supplies the cell with energy?<br /> ribosome<br /> cytoplasm<br /> nucleus<br /> mitochondrion,15,97,5,0,0,0,0,7.5,2,0,8.696,9,0,0,-4.580477573,0.028252947,0,0
Choose the definition of: Genetic<br /> A. unit of space <br /> B. Unit of heredity <br /> C. Unit of measure <br /> D. developed muscles,24,111,4,0,0,0,0,4.8,5,0,-0.5825,12,0,0,-3.47838702,0.117521427,0.1,0.3
How is homeostasis important to the survival of organisms?,9,50,0,1,1,1,0,9,1,0,8.713333333,1,0,1,-5.585999439,0.006055254,0.4,1
A biologist is in the process of classifying a newly discovered fungus. The fungus is a decomposer and has saclike structures. To which group does the organism most likely belong?<br /> a. fungi that are rusts<br /> b. fungi that are associated with bread mold<br /> c. fungi that makes blue cheese<br /> d. fungi that are autotrophic decomposers,59,288,7,0,0,0,0,7.375,8,0,3.73190678,15,0,0,-4.340156913,0.107249122,0.159090909,0.513636364
Which type of bond forms protein chains?<br /> A. Actinide<br /> B. Beta sheet<br /> C. Lanthanide<br /> D. Peptide,20,96,4,0,0,0,0,3.333333333,6,0,-1.158833333,13,0,0,-3.627470826,0.082666888,0,0
Which two cell structures work together in the<br /> process of protein synthesis?<br /> (1) nucleus and chloroplast<br /> (2) ribosome and vacuole<br /> (3) nucleus and ribosome<br /> (4) mitochondrion and cell membrane<br />,35,192,7,0,0,0,0,17.5,2,0,9.524285714,21,0,0,-2.13970416,0.731601361,0,0
The study of the whole economy is called _____.<br /> microeconomics<br /> macroeconomics<br /> Gross Domestic Product <br /><br /> The time from one economic peak to another economic peak is called the _____.<br /> aggregate<br /> net exports<br /> economic cycle,39,223,8,0,0,0,0,13,3,0,7.653846154,18,0,0,-5.144166687,0.051587291,0.114285714,0.157142857
"Which two features indicate that a cell is a plant cell and not an animal cell?<br /><br /> a. central vacuole, mitochondria<br /><br /> b. cell membrane, large size<br /><br /> c. ribosomes, green color<br /><br /> d. chloroplasts, cell wall",41,202,9,0,0,0,0,6.833333333,6,0,1.401056911,25,0,0,-3.768487474,0.154149775,0.004761905,0.326190476
Metamorphic rock forms from other rock when it is subjected to significant changes in which of the following? Select all that apply.<br /> A. heat<br /> B. pressure<br /> C. deposition<br /> D. chemical environment,35,180,4,0,0,1,0,5,7,0,2.870571429,14,0,0,-3.757032342,0.108545311,0.083333333,0.45
Which feature is found in prokaryotic cells but not in eukaryotic cells?<br /><br /> a. cytoplasm <br /> b. nucleus <br /> c. plasma membrane <br /> d. nucleoid,26,132,8,0,0,0,0,4.333333333,6,0,1.025897436,15,0,0,-3.556502574,0.100832299,0,0
"Which feature is shared by protists, fungi, plants, and animals but is lacking in bacteria?<br /> A. DNA<br /> B. a nucleus<br /> C. reproduction<br /> D. cell membrane",29,140,5,0,0,0,0,4.833333333,6,0,0.476321839,16,0,0,-3.64709792,0.107936026,0,0
Binary fission is a process through which<br /> A. all cells divide.<br /> B. eukaryotic cells divide.<br /> C. prokaryotic cells divide.<br /> D. cellular DNA is cut in half.,30,146,6,0,0,0,0,3.75,8,0,0.227,16,0,0,-3.744516534,0.112298149,-0.166666667,0.166666667
A new combination of hereditary material is produced in offspring through _____.<br /> asexual reproduction<br /> sexual reproduction,17,116,2,0,0,0,0,8.5,2,0,11.63411765,5,0,0,-5.21130599,0.023627942,0.318181818,0.643939394
Which organelles are involved in energy conversion?<br /> A. mitochondria and chloroplasts<br /> B. mitochondria and ribosomes<br /> C. smooth and rough endoplasmic reticulum<br /> D. Golgi apparatus and chloroplasts,30,187,8,0,0,0,0,5,6,0,7.76,13,0,0,-3.841071269,0.099054689,0.15,0.45
The purpose of the cuticle in plants is to<br /> A. minimize water loss.<br /> B. support plant functions.<br /> C. provide support.<br /> D. transport water.,27,132,4,0,0,0,0,3.375,8,0,-0.204722222,16,0,0,-3.755019257,0.094733009,0,0
"___________ is the watchdog responsible for keeping the public informed about the acts of its officials, including the President.<br /> A. Congress <br /> B. The media <br /> C. Trade unions <br /> D. The military",33,177,4,0,0,0,0,5.5,6,0,2.443636364,14,0,0,-3.951008452,0.086292894,0.033333333,0.238888889
"Find the simple interest paid to the nearest cent for each loan amount, interest rate, and time.<br /><br /> $4,500, 9%, 3.5 years _____<br /> please I need help ",30,133,3,0,0,0,0,10,3,0,0.84,13,0,0,-4.132194786,0.11260816,0,0.357142857
if I have 24 inches of fabric and i cut off 2.25 inches but add 0.375 what will be the length ,23,73,0,0,0,1,1,7.666666667,3,0,-3.057101449,2,0,0,-5.320790222,0.017614313,0,0
What is the mass and weight of a 10kg object on earth?,12,43,1,1,1,1,0,12,1,0,1.055,1,0,1,-4.755993076,0.016048084,0,0
Rachel Carsoní¢ä‰åä‹¢s warning in Silent Spring was focused on _______.<br /> a. overgrazing by livestock<br /> b. global warming<br /> c. the misuse of pesticides<br /> d. fish stock declines,30,163,4,0,0,0,0,5,6,0,1.637,13,0,0,-4.008166866,0.086282932,0,0.05
 what is 4 and 2/3 + 7/9,8,17,0,1,0,1,0,8,1,0,-9.1875,0,0,0,-3.481865285,0.036546595,0,0
What form is the underlined verb in the sentence?<br /> Grandpa taught me how to throw a baseball.<br /> a. past<br /> b. present participle<br /> c. past participle<br /> d. present,32,151,5,1,0,2,0,4.571428571,7,0,-0.009910714,16,0,0,-3.783190134,0.098633201,-0.083333333,0.083333333
Why did the mujahedeen receive US support even though they were against some American ideals?,15,79,1,1,1,1,0,15,1,0,10.562,1,0,0,-5.942674383,0.009066855,0,0
"Which is a valid distinction between Roman Catholicism and Eastern Orthodoxy?<br /> A. The Catholic Church has a single leader in the pope; the Eastern Orthodox Church follows the teachings of its founder, Constantine I.<br /> B. The Catholic Church has a single leader in the pope; the Eastern Orthodox Church is led by a council of five patriarchs.<br /> C. The Catholic Church has a single leader in the pope; the Eastern Orthodox Church has no single leader.<br /> D. The Catholic Church has a single leader in the pope; the Eastern Orthodox Church has a single leader in the patriarch.",102,489,4,0,0,0,0,11.33333333,9,0,5.616372549,22,0,0,-4.445022487,0.213822016,-0.080102041,0.291836735
Which condition is a risk to unborn babies whose mother's smoke?<br /> A. decreased oxygen<br /> B. viral infection<br /> C. bacterial infection<br /> D. lymph cancer,27,140,4,0,0,0,0,4.5,6,0,2.276666667,13,0,0,-3.322848415,0.182449247,-0.4,0.7
People who travel to a different country and settle there are called<br /> A.immigrants.<br /> B.mercenaries.<br /> C.cavaliers.<br /> D.loyalists.,24,128,4,0,0,1,0,3,8,0,1.265,16,0,0,-5.599422459,0.014905617,0,0.6
what percent is 25 of 100?<br />,7,26,1,1,0,1,1,3.5,2,0,-4.877142857,3,0,0,-4.292795501,0.014692596,0,0
charles Smith wants to move to cottonwood arizona,8,42,2,0,0,0,1,8,1,0,7.2975,0,0,0,-5.926926026,0.006784257,0.2,0.1
Who is Marian Anderson's music teacher ,6,33,0,1,0,1,0,6,1,0,7.475,0,0,0,-3.079113882,0.081710695,0,0
Greta bought three 15-pounds bags of dry dog food.Her dog eats 10 ounces of dry dog food each day.After how many days will Greta need to buy more dog food?<br />,34,131,1,0,0,1,0,8.5,4,0,-0.002352941,6,0,0,-4.754982464,0.069342021,0.216666667,0.55
which process increases genetic variation among whale offspring,8,56,0,0,0,0,1,8,1,0,15.54,0,0,0,-5.675611598,0.010125401,0,0
Why did the U.S enter World War II??,9,29,0,1,1,1,0,4.5,2,0,-5.573333333,3,0,0,-5.426150738,0.009089195,0,0
The French and Indian War:<br /><br /> Benjamin Franklin proposed the ________ which was the ______________. (Description),15,106,2,0,0,0,0,7.5,2,0,5.556,7,0,0,-2.693161589,0.173227231,0,0
13 = 5m - 2<br /> help please,6,22,2,0,0,0,0,6,1,0,-5.085,3,0,0,-3.101092789,0.089353569,0,0
The amount of precipitation on a given day is an example of _____.<br /> A. climate<br /> B. latitude<br /> C. rain fall<br /> D. weather,25,112,4,0,0,0,0,4.166666667,6,0,-2.390666667,13,0,0,-3.583826678,0.097267956,0,0
Who discovered America?,3,21,0,1,1,1,0,3,1,0,11.47,1,0,1,-5.80914299,0.002616887,0,0
The French and Indian War:<br /><br /> Britian imposed the Proclamation if 1763 on the colonists which prohibited ___________.,18,108,3,0,0,0,0,18,1,0,10.85833333,5,0,0,-4.75177366,0.030225733,0,0
Which statement BEST explains the similarities between the philosophies of John Locke and Jean Jacques Rousseau?,16,97,0,0,1,0,0,16,1,0,14.83,1,0,1,-5.318520074,0.018466944,1,0.3
How are bones classified?,4,22,0,1,1,1,0,4,1,0,5.2975,1,0,1,-6.502290171,0.001402919,0,0
"which uses less electricity in an hour, a blender or a popcorn popper",13,57,0,0,0,0,1,13,1,0,5.359230769,1,0,0,-4.902421709,0.019742856,-0.166666667,0.066666667
What finally convince japanse Emperor Hirohito to surrender and bring an ed to the world war II???,17,82,1,1,1,1,0,17,1,0,8.957647059,3,0,0,-6.127596721,0.010468339,0,1
"In the following sentence, which word is the adverb?<br /><br /> The children were playing outside.<br />",17,89,3,0,0,0,0,5.666666667,3,0,2.736862745,9,0,0,-4.248495242,0.032898737,0,0.1
"In the following sentence, which word is the adverb?<br /><br /> The children were playing outside.<br />",17,89,3,0,0,0,0,5.666666667,3,0,2.736862745,9,0,0,-4.248495242,0.032898737,0,0.1
What element is sometimes found in toothpaste<br />,8,44,1,1,0,1,0,8,1,0,6.70875,2,0,0,-5.80914299,0.005049039,0,0
a two dimensional figure made from two or more geometry figures,11,53,0,0,0,0,1,11,1,0,6.763636364,0,0,0,-4.399318132,0.029521932,0.5,0.5
Which elemt is used in light bulbs as a filament,10,39,1,0,0,0,0,10,1,0,1.939,0,0,0,-5.339139361,0.009318368,0.4,0.7
Does anyone here use PA.? My last question got deleted.,10,46,0,0,0,0,0,5,2,0,1.323,3,0,1,-4.828313737,0.020180853,0,0.066666667
"Between 1830 and 1860, laws in slave states<br /> a. made it easy to free slaves.<br /> b. made it easy for slaves to escape.<br /> c. made it difficult to free slaves.<br /> d. ignored the issue of slavery.",40,168,4,0,0,0,0,5,8,0,-1.62075,17,0,0,-4.118264746,0.098712257,0.233333333,0.853333333
Show how: There are 5 apples. Troy cuts each apple in half. Then he cuts those 2 pieces into 4 slices. What is the total number of apple slices?,29,116,0,0,1,2,0,7.25,4,0,0.222931034,4,0,1,-3.742032061,0.119472954,-0.083333333,0.458333333
dose a popcorn popper uses more electricity than a coffee maker,11,53,0,0,0,0,1,11,1,0,6.763636364,0,0,0,-5.387929525,0.012455084,0.5,0.5
"A horizontal 20.-newton force is applied to a 5.0-kilogram box to push it across a rough,<br /> horizontal floor at a constant velocity of 3.0 meters per second to the right.<br /><br /> Calculate the coefficient of kinetic friction between the box and the floor. [Show all work, including<br /> the equation and substitution with units]",60,282,4,0,0,0,0,10,6,0,3.9015,19,0,0,-4.617748968,0.114193372,0,0.166666667
How much total energy is dissipated in 10. seconds<br /> in a 4.0-ohm resistor with a current of<br /> 0.50 ampere?<br /> (1) 2.5 J (3) 10. J<br /> (2) 5.0 J (4) 20. J,40,133,4,1,0,1,0,4.444444444,9,0,-6.961777778,25,0,0,-2.184085468,0.755695363,0,0.575
"A horizontal 20.-newton force is applied to a 5.0-kilogram box to push it across a rough,<br /> horizontal floor at a constant velocity of 3.0 meters per second to the right.<br /><br /> Calculate the weight of the box. [Show all work, including the equation and substitution with units.]",53,240,3,0,0,0,0,7.571428571,7,0,1.817789757,18,0,0,-4.532047921,0.112179587,0,0.166666667
The current in a wire is 4.0 amperes. The time<br /> required for 2.5 í€äóî 10^19 electrons to pass a certain<br /> point in the wire is<br /> (1) 1.0 s (3) 0.50 s<br /> (2) 0.25 s (4) 4.0 s,47,150,4,0,0,0,0,5.875,8,0,-6.767606383,23,0,0,-2.16601665,0.739478822,0,0.4
"A vertical spring has a spring constant of<br /> 100. newtons per meter. When an object is<br /> attached to the bottom of the spring, the spring<br /> changes from its unstretched length of 0.50 meter<br /> to a length of 0.65 meter. The magnitude of the<br /> weight of the attached object is<br /> (1) 1.1 N (3) 50. N<br /> (2) 15 N (4) 65 N",71,277,8,0,0,1,0,8.875,8,0,-1.071373239,30,0,0,-2.545081373,0.778394777,0,0.333333333
The individuals you are most likely to influence with your persuasive <br /> presentation are referred to as your<br /> a.  Target audience<br /> b.  leading audience <br /> C. Gene,29,149,4,0,0,0,0,7.25,4,0,3.958448276,11,0,0,-3.704383641,0.083237281,0.25,0.75
what is 1 1/2 times 3?,7,17,0,1,1,1,1,7,1,0,-7.837142857,1,0,0,-2.946942109,0.058714921,0,0
Estimate 19.164í‰Œæ-í‰Œæ9.53  by first rounding each number to the nearest tenth.,14,70,0,0,0,0,0,4.666666667,3,0,0.416190476,4,0,0,-4.446946181,0.027795459,0.25,0.333333333
Please help! Due tonight!<br /><br /> Find each function value for the given function rule.<br /><br />  f(9) if f(x) = x + 13,24,102,4,0,0,0,0,6,4,0,-2.53375,15,0,0,-2.429902069,0.441967795,-0.125,0.375
10 = z/2 + 7<br /> Help please..??,7,27,1,0,1,0,0,7,1,0,-6.491428571,6,0,0,-3.304589343,0.077414832,0,0
"how do you write  527,519 in expanded from using exponents ",11,48,0,1,0,1,1,11,1,0,4.194545455,1,0,0,-4.803621125,0.014997406,0,0
Marco has a jug with 37 1/2 ounces of juice.  He wants to use some small cups  to pass out sample of the juice. Each cup can hold 2 1/2 ounces of juice. How many cups can Marco fill with juice samples,44,157,0,0,0,1,0,11,4,0,0.340909091,3,0,0,-4.429537617,0.096286622,0.15,0.333333333
write an inequality statement using greater than an less than to compare 0.008 and 0.01,17,73,0,0,0,0,1,5.666666667,3,0,1.074509804,2,0,0,-4.774246516,0.027940449,0.166666667,0.283333333
Who was the first woman to be appointed to the cabinet?<br /> a. Harriet Ford<br /> c. Susan B Anthony<br /> b. Frances T Perkins<br /> d. Clara Barton,29,123,4,1,0,1,0,4.833333333,6,0,-1.797471264,13,0,0,-3.391247051,0.12611738,0.25,0.333333333
Solve to find the value of x.   40-x/3 = 4+x ,12,33,0,0,0,0,0,6,2,0,-7.44,2,0,0,-3.525789259,0.061468203,0,0
Solar power is a renewable resource because _______.<br /> a. it is continually replenished<br /> b. using the resource consumes it<br /> c. it can be found everywhere on earth<br /> d. all of the above,35,167,4,0,0,0,0,5.833333333,6,0,0.730380952,13,0,0,-3.760733558,0.094007814,0,0.1
The term mint as used in the text referred to coining money.<br /> a.  True<br /> b.  False,18,72,2,0,0,0,0,4.5,4,0,-2.695,7,0,0,-3.705008836,0.066978956,-0.4,0.6
"PLEASE HELP ME! In the figure shown, the measure of angle 6 is 141í‰Œ_. What is the measure of angle 5?",21,83,0,0,1,1,0,7,3,0,-1.108571429,4,0,1,-4.096164399,0.060413951,0,0
x = ?<br /><br /> 17 - x = 13 <br /><br /> Solve for x.<br /><br /> Thanks in advance. ,16,66,6,0,0,0,1,4,4,0,-7.06625,16,0,0,-3.232606018,0.126501648,0.2,0.2
what are proportion?,3,18,0,1,1,1,1,3,1,0,6.76,1,0,0,-6.907755279,0.000490502,0,0
"what is the next term in the pattern 0.3, 0.5, 0.7, 0.9, ...?",16,49,0,1,1,1,1,3.2,5,0,-8.938125,12,0,0,-5.521460918,0.01147067,0,0
10 (s-4) = -127  <br /> What does s stand for?  Plsssss help!!!!!!!!,12,54,2,0,0,1,0,6,2,0,-3.9075,15,0,0,-2.314882621,0.19374315,0,0
26 divided by 3 draw a quick picture to help,10,35,0,0,0,0,0,10,1,0,0.055,0,0,0,-3.753799,0.048119092,0.333333333,0.5
Round each number to the nearest tenth 483.51 í¢ä‰åäóì 246.17?<br />,12,58,1,0,0,0,0,3,4,0,-2.66,5,0,0,-4.590985551,0.024825748,-0.2,0.4
Earth Science Help?! Please help me do #18. Picture inside :),10,51,0,0,0,0,0,3.333333333,3,0,1.431666667,4,0,0,-2.824073423,0.156074363,0.5,1
"Mark the statement if it accurately describes Isaac Newtoní¢ä‰åä‹¢s achievements. <br /> a. He was a professor of mathematics at Cambridge University.<br /> b. In his book, Mathematical Principles of Natural Philosophy, Newton laid out three laws of motion that are still the basis for studying how things move.<br /> c. As Newton went on developing his ideas in astronomy, mathematics, and physics, he became very unpopular and was often ridiculed for his works.",74,390,3,0,0,1,0,10.57142857,7,0,6.832876448,18,0,0,-4.587821548,0.119051994,0.175,0.333333333
"Hz.Mohammed ,what year were you born ?",7,32,1,0,1,1,0,3.5,2,0,-0.167142857,3,0,0,-5.521460918,0.00474681,0,0
"One way in which The Epic of Gilgamesh, The<br /> Odyssey, and The Mahí‰Œ¿ abhí‰Œ¿<br /> arata are similar is that<br /> they are<br /> (1) sets of written legal principles that spell out<br /> the rights of citizens<br /> (2) stories that are tied to monotheistic religious<br /> beliefs<br /> (3) paintings that depict heroes and cultural<br /> values<br /> (4) works of literature that give historians<br /> information about early civilizations",73,376,14,0,0,0,0,73,1,0,36.03917808,32,0,0,-2.593234527,0.718979013,0.1,0.325
Writing style includes all of the following EXCEPT<br /> A. word choice.<br /> B. sentence structure.<br /> C. syntax.<br /> D. theme.,22,113,4,0,0,0,0,2.75,8,0,-0.144545455,16,0,0,-3.45898948,0.111198144,0,0.1
"Simplify.[2 í€äóî (10 + 5)] - 5<br /> A. 12.5 <br /> B. 20 <br /> C. 25 <br /> D. 120 <br /><br /><br /> Compare. <br /> Use &gt;, <br /> B. = <br /> C.",29,115,10,0,0,0,0,3.222222222,9,0,-9.91164751,36,0,0,-2.640211842,0.454960814,0,0
A store is having a sale to celebrate President's Day. Every item in the store is advertised as one-fifth off the original price. If an item is marked with a sale price of $140 what was its original price?<br /><br />       Im having trouble with this question. Can someone please show the answer and explain??,56,250,3,0,1,1,0,11.2,5,0,4.019285714,11,0,0,-3.768062317,0.209226754,0.1625,0.575
PLEASEEEE HELLLPP: A team mom ordered 100 pizzas for $1255. Cheese pizzas cost $11.50 each and pepperoni pizzas cost $13.00 each.   Identify and define your variables. Write a sistem of equations.,33,164,3,0,0,0,0,5.5,6,0,3.3,6,0,0,-4.422848629,0.100493075,0,0
how do you work out this problem! 3í€äóî-2y=7,10,38,1,1,0,1,1,5,2,0,-4.8,2,0,0,-4.639071738,0.010387422,0,0
Name the setc or sets to which each number belongs?<br /> 1). -í¢Êç100<br /> 2).  í¢Êç79,16,76,3,0,0,0,0,4,4,0,-4.1225,10,0,0,-2.34625204,0.226335074,0,0
How does the book marley &amp; me connect in any way to history or to literature? Does the character remind you of a famous person? Does the plot remind you of another novel? Does the novel make any allusions? (You dont have to answer everything)<br />,46,207,3,1,0,1,0,9.2,5,0,3.238695652,9,0,0,-3.345573478,0.202895268,0.2,0.55
" PLEASE HELP AS SOON AS U CAN PLEAAAAAASEE!!!!!!!Jana is taking pledges for a bike-a-thon fundraiser. Ivan pledged $4.25,plus $1.25 for each mile that Jana bikes. Vicky pledged $5.75,plus &amp;0.75 for each mile that Jana bikes. (Part A)- write expression for the number of dollars Ivan pledged and the number of dollars Vicky pledged. Use M for the number of miles that Jana bikes. (Part B)- Add the two expressions from Part A to find the combined amount that Ivan and Vicky pledged in terms of M. (Part C)-Find an expression equivalent to the one from part Part B by factoring out the greatest common factor from the two terms.",120,521,3,0,0,0,0,10,12,0,2.60625,32,0,0,-3.136840801,0.844669148,0.35,0.75
The regular price of an item is $65. The item is on sale with a discount  of $8.What is the discount rate,23,83,0,0,0,1,0,7.666666667,3,0,-1.41884058,2,0,0,-4.298911728,0.054193596,0,0.076923077
"In asexual reproduction, two parents each pass copies of all of their cells to their offspring. <br /> a. True<br /> b. False",22,103,2,0,0,0,0,5.5,4,0,1.230454545,8,0,0,-3.67443877,0.077336911,-0.4,0.6
is 3/8 equivalent  to 2/6,7,20,0,0,0,0,1,7,1,0,-5.818571429,0,0,0,-6.060457419,0.003035377,0,0
"I have a 6 year old rescue dog that has bad separation anxiety.  She barks,tears things up, chews on the door handles and breaks out of herkennel when we leave the house.  We have tried to give her toys to play with but she will not play with anything.  Can you please tell me what I can do to get her over her separation anxiety before I run out of money fixing things. ",74,295,1,0,0,2,0,14.8,5,0,4.364459459,6,0,0,-5.045615013,0.078467101,-0.3,0.433333333
The SECOND nation to test an atomic bomb was __________.Select one of the options below as your answer:<br /> a.  Great Britain<br /> b.  China<br /> c.  France<br /> d.  the Soviet Union,33,151,4,0,0,0,0,5.5,6,0,-1.124545455,13,0,0,-3.643268943,0.129518274,0.4,0.375
Yuri has a rope 12m long. he cuts it into pieces that are each 2m long. what fraction of the rope is one piece ,24,87,2,0,0,1,0,8,3,0,-0.74875,2,0,0,-4.81795095,0.035273811,-0.05,0.4
